"No.","Time","Source","Destination","Protocol","Length","Info"
"904","6.680957","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"905","6.722740","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"906","6.740929","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"907","6.741650","192.168.43.45","8.8.8.8","DNS","76","Standard query 0xb6e2 A alive.github.com"
"908","6.741776","192.168.43.45","8.8.8.8","DNS","76","Standard query 0x2614 HTTPS alive.github.com"
"909","6.750915","fe80::430:851c:c2e8:86ea","ff02::1:ffff:d72e","ICMPv6","86","Neighbor Solicitation for fe80::1cf0:ff3d:b6ff:d72e from aa:21:b1:aa:5f:64"
"910","6.750963","fe80::430:851c:c2e8:86ea","ff02::1:ff4f:16c0","ICMPv6","86","Neighbor Solicitation for fe80::14d9:f9b1:584f:16c0 from aa:21:b1:aa:5f:64"
"911","6.762599","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"912","6.799968","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"913","6.834845","192.168.43.42","192.168.43.45","UDP","53","2390  >  2399 Len=11"
"914","6.840991","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"915","6.840993","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"916","6.843726","192.168.43.45","31.13.66.51","TCP","78","[TCP Retransmission] 60232  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1124881742 TSecr=0 SACK_PERM"
"917","6.880986","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"918","6.922174","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"919","6.941029","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"920","6.941287","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"921","6.961001","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"922","7.001056","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"923","7.040931","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"924","7.040934","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"925","7.081181","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"926","7.083541","192.168.43.45","31.13.88.61","TCP","78","[TCP Retransmission] 60233  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1141772149 TSecr=0 SACK_PERM"
"927","7.122030","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"928","7.140885","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"929","7.160755","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"930","7.201207","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"931","7.242690","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"932","7.242693","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"933","7.243035","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"934","7.281091","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"935","7.322518","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"936","7.340967","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"937","7.361076","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"938","7.383651","192.168.43.45","8.8.8.8","DNS","70","Standard query 0x54a2 A dns.google"
"939","7.383871","192.168.43.45","8.8.8.8","DNS","70","Standard query 0xca36 HTTPS dns.google"
"940","7.401100","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"941","7.441110","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"942","7.441114","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"943","7.481529","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"944","7.522694","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"945","7.541977","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"946","7.560925","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"947","7.561177","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"948","7.601243","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"949","7.641392","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"950","7.641396","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"951","7.680806","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"952","7.721018","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"953","7.740867","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"954","7.761031","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"955","7.762065","fe80::430:851c:c2e8:86ea","ff02::1:ffff:d72e","ICMPv6","86","Neighbor Solicitation for fe80::1cf0:ff3d:b6ff:d72e from aa:21:b1:aa:5f:64"
"956","7.762114","fe80::430:851c:c2e8:86ea","ff02::1:ff4f:16c0","ICMPv6","86","Neighbor Solicitation for fe80::14d9:f9b1:584f:16c0 from aa:21:b1:aa:5f:64"
"957","7.801024","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"958","7.835345","192.168.43.42","192.168.43.45","UDP","53","2390  >  2399 Len=11"
"959","7.841097","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"960","7.841101","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"961","7.841856","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"962","7.848826","192.168.43.45","31.13.66.51","TCP","78","[TCP Retransmission] 60232  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1124882747 TSecr=0 SACK_PERM"
"963","7.880705","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"964","7.920823","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"965","7.941017","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"966","7.960780","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"967","8.000986","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"968","8.008702","192.168.43.45","8.8.8.8","DNS","75","Standard query 0x85a1 HTTPS ocsp2.apple.com"
"969","8.008810","192.168.43.45","8.8.8.8","DNS","75","Standard query 0xcdf7 A ocsp2.apple.com"
"970","8.008933","192.168.43.45","8.8.8.8","DNS","83","Standard query 0x1d7c HTTPS configuration.apple.com"
"971","8.008998","192.168.43.45","8.8.8.8","DNS","83","Standard query 0xb805 A configuration.apple.com"
"972","8.043667","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"973","8.043670","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"974","8.080956","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"975","8.089109","192.168.43.45","31.13.88.61","TCP","78","[TCP Retransmission] 60233  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1141773154 TSecr=0 SACK_PERM"
"976","8.120728","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"977","8.142069","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"978","8.160938","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"979","8.161302","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"980","8.201447","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"981","8.242630","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"982","8.242633","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"983","8.283726","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"984","8.321041","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"985","8.341069","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"986","8.361248","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"987","8.400971","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"988","8.440811","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"989","8.440814","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"990","8.481058","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"991","8.481546","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"992","8.522639","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"993","8.541037","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"994","8.560680","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"995","8.601069","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"996","8.641004","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"997","8.641007","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"998","8.680896","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"999","8.720807","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1000","8.740870","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1001","8.760845","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1002","8.767877","192.168.43.45","8.8.8.8","DNS","76","Standard query 0x0eb7 A alive.github.com"
"1003","8.802703","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1004","8.803072","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"1005","8.834839","192.168.43.42","192.168.43.45","UDP","53","2390  >  2399 Len=11"
